"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
30078980.4666667 0 30078980.4666667 16373421.7866667 30078980.4666667 15016685.58 16373421.7866667 8102320.40666667
1 0 1 0.5387 1 0.5006 0.5387 0.2685
1 0 0.0500000000000003 0.5387 0.524266666666667 0.0253666666666666 0.5387 0.2685
0.00519863242697985 0 0.00519993298257288 0.000370869045114039 0.00520812842600346 0 0.000370866340567626 0
0.00522379721411026 0 0.00522501874065939 0.000371767613992825 0.00523328497608192 0 0.000371742500066332 0
0.00519863242697985 0 0 0.000370869045114039 0.00520812842600346 0 0.000370866340567626 0
0.00522379721411026 0 0 0.000371767613992825 0.00523328497608192 0 0.000371742500066332 0
0.0019566700561143 0 0.00195759225280494 0.000183776851956414 0.00196001309976969 0 0.000183763651108829 0
0.0019724413830819 0 0.00197332408349455 0.000185157437957465 0.00197574923988539 0 0.000185132296061048 0
7.64440368082885 7.16053105662382 7.19532352075783 7.15767473547809 7.64462305172238 7.14726267232407 7.15753375118686 7.15848604978886
7.66683579494182 7.18198557916395 7.21618246366295 7.17869702045423 7.66789551983808 7.16858432573745 7.17882040507204 7.17970665536203
8.61099812262904 7.99400027037207 7.98988959586598 7.99004079515542 8.61142170903475 7.97505399191341 7.98986125694466 7.99135095159162
8.63912802527731 8.02081864162758 8.01613655463669 8.01664128449598 8.64058996540692 8.001835085696 8.01661870435445 8.01807331326228
-1.17256970027349 -1.17409232205526 -1.17596432074147 -1.17297833630301 -1.17257250965084 -1.17514770821405 -1.17297688132676 -1.17417855906071
0.559361839196163 0.557832809456874 0.555968471340047 0.558952169637003 0.559358400746789 0.556783828703548 0.558954713389017 0.55774982526256
-0.633563560279167 -0.635227690624867 -0.637104006849944 -0.633296713963218 -0.633565063156869 -0.636286052716693 -0.633296232499081 -0.635317926187267
-0.63334875873511 -0.635014681868002 -0.636889036653595 -0.63308236819007 -0.633349896002881 -0.636071278153473 -0.63308115666254 -0.635103551430946
150621.425 0 150631.505833333 11061.5641666667 150872.043333333 0 11061.4916666667 0
151355.648166667 0 151362.525583333 11088.9875 151605.198916667 0 11088.1963333333 0
150621.425 0 0 11061.5641666667 150872.043333333 0 11061.4916666667 0
151355.648166667 0 0 11088.9875 151605.198916667 0 11088.1963333333 0
56832.8075 0 56851.6908333333 5420.68166666667 56923.2483333333 0 5420.34166666667 0
57292.6439166667 0 57309.9433333334 5462.922 57381.4055000001 0 5462.2295 0
162198111.063333 162276992.963333 161644439.065833 162316822.7975 162198445.4125 161882418.904167 162316669.3325 162259190.91
162250795.921083 162329489.9125 161696668.404583 162369178.774417 162250755.245917 161934782.054917 162369246.818583 162311471.279417
322328332.424167 322504812.143333 320423568.6225 322565229.6275 322329172.85 321280496.900833 322564908.133333 322454580.928333
322436192.51975 322612464.7395 320530795.31175 322673515.38425 322436649.264167 321388157.161083 322673273.318917 322562275.256417
1.73151846269046 1.73151846269046 1.73151846269046 1.73151846269046 1.73151846269046 1.73151846269046 1.73151846269046 1.73151846269046
1.73151846269046 1.73151846269046 1.73151846269046 1.73151846269046 1.73151846269046 1.73151846269046 1.73151846269046 1.73151846269046
0.55894876241697 0.557426140635202 0.555554141948984 0.558540126387445 0.558945953039614 0.556370754476408 0.558541581363696 0.557339903629751
0.559361839196163 0.557832809456874 0.555968471340047 0.558952169637003 0.559358400746789 0.556783828703548 0.558954713389017 0.55774982526256
