"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
4284807 0 4284807 2708527 4284807 0 4284807 0 4284807 4284807 2708527 2708527
4284807 0 214240.35 2708527 4284807 0 4284807 0 214240.35 214240.35 2708527 2708527
41809.75 0 41615.25 41308.25 41717.5 0 41761.25 0 41777.25 41777.75 41199.25 41345.5
42263.275 0 41942.275 41337.3 42156.95 0 41969.3 0 42089.875 42072.825 41485.625 41361.55
0.0097576740329261 0 0.00971228108990673 0.0152511863459364 0.00973614447511872 0 0.00974635497001382 0 0.00975008909386117 0.0097502057852314 0.015210943069794 0.0152649392086547
0.00986351894029299 0 0.0097886030806055 0.0152619117328349 0.00983870452041364 0 0.00979491024916642 0 0.00982305037309732 0.00981907119737248 0.0153166739707598 0.0152708649387656
41809.75 0 0 41308.25 41717.5 0 41761.25 0 0 0 41199.25 41345.5
42263.275 0 0 41337.3 42156.95 0 41969.3 0 0 0 41485.625 41361.55
0.0097576740329261 0 0 0.0152511863459364 0.00973614447511872 0 0.00974635497001382 0 0 0 0.015210943069794 0.0152649392086547
0.00986351894029299 0 0 0.0152619117328349 0.00983870452041364 0 0.00979491024916642 0 0 0 0.0153166739707598 0.0152708649387656
29704 0 29502 29370.75 29597 0 29649.25 0 29681.25 29684.5 29288.5 29325.75
29964.725 0 29817.775 29477.65 29971.6 0 29859.825 0 29978.65 29962.95 29541.275 29426.425
0.00693240092260865 0 0.00688525760903583 0.0108438091996129 0.00690742896937948 0 0.00691962321756849 0 0.0069270914652632 0.00692784995916969 0.010813442140322 0.0108271950030404
0.00699324963761495 0 0.00695895404390443 0.0108832771465819 0.00699485414395561 0 0.00696876778814075 0 0.00699649949227585 0.00699283538325063 0.0109067677745136 0.0108643646528168
43252.25 1435.5 30790.5 42757 43207 1313.25 43247 1303.5 30961 31086.25 42698 42904.75
43780.875 1512.75 31252.65 42878.975 43658.975 1370.775 43477 1375.85 31436.3 31303.275 42986.4 43058.85
0.0763433524726017 0.00253376142222473 0.0543474615611359 0.0754692003692531 0.0762634829467531 0.00231798132200392 0.0763340858425308 0.00230077186615809 0.0546484064043887 0.0548694817217928 0.0753650610979809 0.0757299898155323
0.0772764138671148 0.00267011326469555 0.0551631897682283 0.0756844950745655 0.077061251542232 0.00241951711149433 0.076740052493253 0.00242847485389613 0.055487345313468 0.0552525465581971 0.0758741079765387 0.0760019874715161
243432 213682 243454.5 242862.25 243743.5 213656.75 243547.75 213601.75 243249.75 243503.75 243217.5 243282.25
244016.15 214474.3 243872.3 243721.425 244592.075 214083.075 243921.65 213945.2 243780.2 243956 243787.375 243985.275
1.09623438499158 0.962262791472652 1.0963357080455 1.09366866010393 1.09763714638254 0.962149084489917 1.09675563581342 0.961901405913664 1.09541366825481 1.09655749295242 1.09526843854419 1.09556002377714
1.09886495663373 0.965830713944754 1.09821716457566 1.09753773720853 1.10145848907062 0.964068931199395 1.09843939980726 0.963448046041196 1.09780241554161 1.09859408633625 1.09783472633769 1.09872591888752
-2.50783374332883e-07 -8.6034408733511e-09 -1.9511856686914e-07 -2.52528721589144e-07 -2.50139691982624e-07 -1.96379985656272e-08 -2.49460009499802e-07 -1.9548387671835e-08 -1.96063916098809e-07 -1.83575405671849e-07 -2.52518623674669e-07 -2.40804279322271e-07
-2.47526946439399e-07 -8.19415003484696e-09 -1.93106643922862e-07 -2.51841919140811e-07 -2.48308869295766e-07 -1.92013622572675e-08 -2.48397429618947e-07 -1.91611818884697e-08 -1.93201219019011e-07 -1.8258257621286e-07 -2.51177043592335e-07 -2.40305936415595e-07
-5.21609664349061e-05 -1.78944793215793e-06 -4.05831249553996e-05 -5.25239849160685e-05 -5.20270855763526e-05 -4.08454901268988e-06 -5.18857169738e-05 -4.06591065264816e-06 -4.07797501486337e-05 -3.8182238352106e-05 -5.25218846293991e-05 -5.00853932782567e-05
-5.14836550840178e-05 -1.7043186617423e-06 -4.01646608305367e-05 -5.23811354167736e-05 -5.16462888789182e-05 -3.99373209994518e-06 -5.16647087285481e-05 -3.98537489973692e-06 -4.01843317055654e-05 -3.79757376451766e-05 -5.22428465399305e-05 -4.99817418791265e-05
