"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
30078980.4666667 0 30078980.4666667 12969394.44 30078980.4666667 15016685.58 12969394.44 6448205.48333333
1 0 1 0.425966666666667 1 0.5006 0.425966666666667 0.213533333333333
1 0 0.0500000000000003 0.425966666666667 0.524266666666667 0.0253666666666666 0.425966666666667 0.213533333333333
0.00926652461767061 0 0.0092855798116493 0.000163440857271584 0.00927921668690923 0.00929121107462403 0.000163429787585264 0.000163597907185863
0.00930423993921117 0 0.00932308672842802 0.000165728457616136 0.00931680954860993 0.00932469013447501 0.000165722282710725 0.000165267320324554
0.00926652461767061 0 0 0.000163440857271584 0 0 0.000163429787585264 0.000163597907185863
0.00930423993921117 0 0 0.000165728457616136 0 0 0.000165722282710725 0.000165267320324554
0.00574976245935376 0 0.00575986905775955 0.0001138301194897 0.00575642501052904 0.00576307528489226 0.000113823711620651 0.000113903110422233
0.00578080818430347 0 0.00579088383195949 0.000115885984810385 0.00578742355606179 0.00579199245429133 0.000115886399298659 0.00011570289274863
13.279512308542 6.12087902101628 8.06236327398459 6.14094547192462 8.06080615044582 8.071650357448 6.14089432383045 6.14270273320201
13.4755091974206 6.24927676973222 8.19636139179446 6.2700542115567 8.1958728696668 8.20607229289287 6.27025870332394 6.27190632883161
14.4596046479481 5.93030508614265 6.99007405880601 5.94914775253897 6.98895155379765 7.00045189989054 5.94918786509289 5.95106779357132
14.6572515895127 6.05455167511935 7.11630462720773 6.07394031785954 7.11672985812959 7.1275413845131 6.07383641838589 6.07596994594725
-0.0149637126235491 -0.012576076060378 -0.0128453346353307 -0.0125953003876698 -0.0128453088837464 -0.0128349025634234 -0.0125944522123186 -0.0125917401923874
0.998254549205353 1.00063125507592 1.000362008481 1.00061194322888 1.00036242919748 1.00037279324972 1.00061325116941 1.00061523692014
-0.0102476068750927 -0.00807167089511783 -0.00834279918452932 -0.00809551704921502 -0.00834269424724548 -0.00833439896851559 -0.00809502915372288 -0.00809239418639263
-0.010160585736802 -0.00799552763205317 -0.00826644934287781 -0.00801927035189152 -0.00826615237026422 -0.00825795900229592 -0.00801858897381418 -0.00801637257050492
279516.986666667 0 280075.074166667 5023.66583333333 279864.67 280246.216666667 5023.3975 5028.7375
280633.8215 0 281185.2365 5091.91708333333 280978.641583333 281239.5905 5091.83875 5077.77366666667
279516.986666667 0 0 5023.66583333333 0 0 5023.3975 5028.7375
280633.8215 0 0 5091.91708333333 0 0 5091.83875 5077.77366666667
173291.055833333 0 173592.565833333 3523.4825 173480.9125 173690.4125 3523.36166666667 3525.9225
174208.941833333 0 174509.259583333 3585.08375 174397.217833333 174545.31775 3585.12566666667 3579.58258333333
3464154.14833333 2620976.59 2787249.54333333 2631192.255 2787166.43666667 2791049.46333333 2631104.37666667 2631885.86
3490276.47466667 2644143.99333333 2810512.37 2654513.96091667 2810549.75916667 2814313.24266667 2654689.8765 2655352.52391667
6236937.535 4729008.4925 4886494.90083333 4743250.59583333 4886393.87083333 4894591.43333333 4743180.25416667 4744660.32083333
6281540.40533334 4768686.39591666 4926248.07858334 4783231.54341666 4926371.91641667 4934355.15816666 4783479.80083333 4784723.80916666
1.01310924407947 1.01310924407947 1.01310924407947 1.01310924407947 1.01310924407947 1.01310924407947 1.01310924407947 1.01310924407947
1.01310924407947 1.01310924407947 1.01310924407947 1.01310924407947 1.01310924407947 1.01310924407947 1.01310924407947 1.01310924407947
0.998145531455923 1.0005331680191 1.00026390944414 1.0005139436918 1.00026393519573 1.00027434151605 1.00051479186715 1.00051750388709
0.998254549205353 1.00063125507592 1.000362008481 1.00061194322888 1.00036242919748 1.00037279324972 1.00061325116941 1.00061523692014
