"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
3932383 0 3932383 3075920 3932383 3932383 3075920 3075920 3932383 0 3932383 0
3932383 0 196619.15 3075920 196619.15 196619.15 3075920 3075920 3932383 0 3932383 0
37357.75 0 37216.5 515.25 37312 37369 543.5 515 37389.5 0 37473 0
37751.05 0 37644.25 558.525 37754.7 37632.875 595.1 556.425 37605.55 0 37931.075 0
0.00950002835430832 0 0.00946410865879544 0.000167510858539884 0.00948839418744308 0.00950288921501288 0.000176695102603449 0.000167429582043746 0.00950810233896342 0 0.00952933628285953 0
0.00960004404453991 0 0.00957288494025124 0.000181579820021327 0.00960097223490184 0.00956999229220551 0.000193470571406278 0.00018089709745377 0.00956304357942754 0 0.00964582417328119 0
37357.75 0 0 515.25 0 0 543.5 515 37389.5 0 37473 0
37751.05 0 0 558.525 0 0 595.1 556.425 37605.55 0 37931.075 0
0.00950002835430832 0 0 0.000167510858539884 0 0 0.000176695102603449 0.000167429582043746 0.00950810233896342 0 0.00952933628285953 0
0.00960004404453991 0 0 0.000181579820021327 0 0 0.000193470571406278 0.00018089709745377 0.00956304357942754 0 0.00964582417328119 0
11359.25 0 11414.75 123.25 11357.5 11354.25 127.25 120 11387.5 0 11421.25 0
11506.6 0 11611.8 128.775 11551 11470.875 151.325 139.525 11599.925 0 11680.6 0
0.00288864284074059 0 0.00290275642021644 4.00693125959063e-05 0.00288819781796432 0.00288737134709412 4.13697365341101e-05 3.90127181461156e-05 0.00289582677984316 0 0.00290440936195686 0
0.00292611375850216 0 0.00295286598482396 4.18655231605503e-05 0.00293740462208284 0.00291702893639811 4.91966631121746e-05 4.53604124944732e-05 0.00294984618741359 0 0.00297036173739943 0
442843 324474.75 336888.75 324799.5 335569.5 337040.25 326750.25 326237.75 444524.25 323476 444594.5 324984.5
446471.875 330108.775 341538.35 328623.025 341683.05 339565.475 329839.1 329550.95 449453.725 328611.175 450043.275 327222.8
1.76260129595135 1.29147263218226 1.34088276734967 1.29276520036299 1.33563189568706 1.34148576682428 1.30052956488513 1.29848971517728 1.76929299804174 1.28749741287354 1.76957260670902 1.2935015363551
1.77704492445591 1.31389714779258 1.35938907993823 1.30798357373708 1.35996501408989 1.35153665361163 1.3128237888268 1.31167689576667 1.78891326758052 1.30793640843164 1.7912597912786 1.30241040582064
176621.5 142116.5 153214.75 141193.75 153231.25 153371.5 142081 141840.25 177525.5 141634 177313.5 141618
178367.2 143156.025 155175.65 143129.4 154924.625 154392.75 143337.25 142928.25 179278.375 143256.4 179616.525 142517.875
2.4499798865323 1.9713487120445 2.12529650025662 1.95854891734058 2.1255253776477 2.12747083547183 1.97085627886976 1.96751674966362 2.46251959329181 1.96465578227518 2.45957886560042 1.96443384056262
2.47419511450805 1.98576833446616 2.15249684426627 1.98539900958511 2.1490147868666 2.14163695884368 1.9882821711448 1.98260878611755 2.48683434825429 1.98716067192853 2.49152494763563 1.97691632797437
-0.000416611877644579 -0.000306833169162996 -0.000320718399438924 -0.000306692366264405 -0.000318957562361388 -0.000319088181509802 -0.000307547215991633 -0.000306263814008195 -0.000418433574501442 -0.000307846587724619 -0.000419059621775547 -0.000307083174248851
-0.000412703450225094 -0.000302098237896675 -0.000316070604688726 -0.00030086710229246 -0.000315210284468226 -0.000315142128773396 -0.00030440138775259 -0.00030156716326851 -0.000413211080177317 -0.000303159059961691 -0.000415597999588072 -0.000303950361974079
-0.000593981034847662 -0.000437464923888963 -0.000457261679312797 -0.000437264175288402 -0.000454751180007242 -0.00045493740920787 -0.000438482970413708 -0.00043665317035482 -0.00059657830449426 -0.000438909797254962 -0.000597470886361677 -0.000437821366629994
-0.000588408625879444 -0.000430714133706498 -0.000450635123317585 -0.000428958852017545 -0.000449408528680481 -0.000449311356246573 -0.000433997831095444 -0.000429956958325415 -0.000589132375202305 -0.000432226592236317 -0.000592535506360528 -0.000433354784718135
